Name,State,Country,Location
South Apopka,Florida,US,"28.66194 , -81.50952"
Casselberry,Florida,US,"28.67778 , -81.32785"
Kissimmee,Florida,US,"28.30468 , -81.41667"
West Melbourne,Florida,US,"28.07168 , -80.65339"
Merritt Island,Florida,US,"28.53917 , -80.672"
Oak Ridge,Florida,US,"28.47112 , -81.42452"
Ocoee,Florida,US,"28.56917 , -81.54396"
Orlando,Florida,US,"28.53834 , -81.37924"
Oviedo,Florida,US,"28.67 , -81.20812"
Palm Bay,Florida,US,"28.03446 , -80.58866"
Pine Hills,Florida,US,"28.55778 , -81.4534"
Rockledge,Florida,US,"28.35084 , -80.72533"
Sanford,Florida,US,"28.80055 , -81.27312"
Saint Cloud,Florida,US,"28.2489 , -81.28118"
Titusville,Florida,US,"28.61222 , -80.80755"
